env,method,seed,timestep,return,ep_length
car_flag,cgf,3,500000,0.4700000000000001,54.0
car_flag,cgf,3,520000,0.179,43.1
car_flag,cgf,3,540000,0.33100000000000007,47.9
car_flag,cgf,3,560000,0.2465,56.35
car_flag,cgf,3,580000,-0.12200000000000003,43.2
car_flag,cgf,3,600000,0.3415,46.85
car_flag,cgf,3,620000,0.12550000000000003,48.45
car_flag,cgf,3,640000,0.10200000000000001,50.8
car_flag,cgf,3,660000,0.1035,40.65
car_flag,cgf,3,680000,0.17400000000000002,43.6
car_flag,cgf,3,700000,0.2,51.0
car_flag,cgf,3,720000,0.07550000000000004,53.45
car_flag,cgf,3,740000,0.17350000000000002,53.65
car_flag,cgf,3,760000,0.2935,61.65
car_flag,cgf,3,780000,0.324,48.6
car_flag,cgf,3,800000,-0.025500000000000002,53.55
car_flag,cgf,3,820000,0.227,48.3
car_flag,cgf,3,840000,0.23050000000000007,47.95
car_flag,cgf,3,860000,0.18000000000000002,53.0
car_flag,cgf,3,880000,0.12350000000000003,48.65
car_flag,cgf,3,900000,0.23149999999999998,47.85
car_flag,cgf,3,920000,0.21999999999999997,49.0
car_flag,cgf,3,940000,0.1525,55.75
car_flag,cgf,3,960000,0.08449999999999998,52.55
car_flag,cgf,3,980000,0.2375,57.25
car_flag,cgf,3,1000000,0.008999999999999998,50.1
car_flag,cgf,4,20000,-1.068,77.8
car_flag,cgf,4,40000,-0.3615,57.15
car_flag,cgf,4,60000,-0.8419999999999999,45.2
car_flag,cgf,4,80000,-0.5965,40.65
car_flag,cgf,4,100000,-0.6854999999999999,39.55
car_flag,cgf,4,120000,-0.7775,38.75
car_flag,cgf,4,140000,-0.3755,38.55
car_flag,cgf,4,160000,-0.7725,38.25
car_flag,cgf,4,180000,-0.184,39.4
car_flag,cgf,4,200000,-0.6910000000000001,40.1
car_flag,cgf,4,220000,0.015999999999999993,39.4
car_flag,cgf,4,240000,-0.3685,37.85
car_flag,cgf,4,260000,-0.6774999999999999,38.75
car_flag,cgf,4,280000,-0.378,38.8
car_flag,cgf,4,300000,-0.37000000000000005,38.0
car_flag,cgf,4,320000,-0.36600000000000005,37.6
car_flag,cgf,4,340000,-0.5740000000000001,38.4
car_flag,cgf,4,360000,-0.06649999999999998,37.65
car_flag,cgf,4,380000,-0.6690000000000002,37.9
car_flag,cgf,4,400000,-0.15500000000000003,36.5
car_flag,cgf,4,420000,-0.16200000000000003,37.2
car_flag,cgf,4,440000,-0.561,37.1
car_flag,cgf,4,460000,-0.055000000000000014,36.5
car_flag,cgf,4,480000,-0.554,36.4
car_flag,cgf,4,500000,-0.8565000000000002,36.65
car_flag,cgf,4,520000,-0.5505,36.05
car_flag,cgf,4,540000,-0.15950000000000003,36.95
car_flag,cgf,4,560000,-0.256,36.6
car_flag,cgf,4,580000,-0.0595,36.95
car_flag,cgf,4,600000,-0.05150000000000001,36.15
car_flag,cgf,4,620000,-0.449,35.9
car_flag,cgf,4,640000,0.14099999999999996,36.9
car_flag,cgf,4,660000,-0.15650000000000003,36.65
car_flag,cgf,4,680000,-0.25149999999999995,36.15
car_flag,cgf,4,700000,-0.35649999999999993,36.65
car_flag,cgf,4,720000,-0.048499999999999995,35.85
car_flag,cgf,4,740000,-0.5640000000000001,37.4
car_flag,cgf,4,760000,-0.44749999999999995,35.75
car_flag,cgf,4,780000,-0.057499999999999975,36.75
car_flag,cgf,4,800000,-0.35900000000000004,36.9
car_flag,cgf,4,820000,-0.4525,36.25
car_flag,cgf,4,840000,-0.5605,37.05
car_flag,cgf,4,860000,-0.4565,36.65
car_flag,cgf,4,880000,-0.35900000000000004,36.9
car_flag,cgf,4,900000,-0.758,36.8
car_flag,cgf,4,920000,-0.254,36.4
car_flag,cgf,4,940000,-0.3565,36.65
car_flag,cgf,4,960000,-0.45200000000000007,36.2
car_flag,cgf,4,980000,-0.26,37.0
car_flag,cgf,4,1000000,-0.643,35.3
car_flag,cgf,5,20000,-0.9780000000000001,148.3
car_flag,cgf,5,40000,-0.005000000000000002,101.5
car_flag,cgf,5,60000,0.32,69.0
car_flag,cgf,5,80000,0.396,61.4
car_flag,cgf,5,100000,0.4830000000000001,52.7
car_flag,cgf,5,120000,0.421,58.9
car_flag,cgf,5,140000,0.4425,56.75
car_flag,cgf,5,160000,0.366,64.4
car_flag,cgf,5,180000,0.37750000000000006,63.25
car_flag,cgf,5,200000,0.4125,59.75
car_flag,cgf,5,220000,0.4485,56.15
car_flag,cgf,5,240000,0.36950000000000005,64.05
car_flag,cgf,5,260000,0.37350000000000005,63.65
car_flag,cgf,5,280000,0.378,63.2
car_flag,cgf,5,300000,0.371,63.9
car_flag,cgf,5,320000,0.4565,55.35
car_flag,cgf,5,340000,0.418,59.2
car_flag,cgf,5,360000,0.3954999999999999,61.45
car_flag,cgf,5,380000,0.4745000000000001,53.55
car_flag,cgf,5,400000,0.434,57.6
car_flag,cgf,5,420000,0.433,57.7
car_flag,cgf,5,440000,0.40800000000000003,60.2
car_flag,cgf,5,460000,0.45200000000000007,55.8
car_flag,cgf,5,480000,0.4295,58.05
car_flag,cgf,5,500000,0.3875,62.25
car_flag,cgf,5,520000,0.4919999999999999,51.8
car_flag,cgf,5,540000,0.38299999999999995,62.7
car_flag,cgf,5,560000,0.398,61.2
